"Subj","Block","Trial","RT","Cond","stimuli","direction","AlignedVAR","UnalignedVAR"
"10","10","10","872","Animal","redfox","Right",1552.47082944424,2201.85270005484
"10","10","10","925","Animal","asianelephant","Right",90.4821402788915,182.147335664405
"10","10","10","922","Animal","skunk","Left",81.1826959052957,105.476865337694
"10","10","10","922","Animal","greathornowl","Left",106.093018066103,293.749773757717
"10","10","10","1204","Animal","toucan","Left",1250.36078787488,2782.54875123947
"10","10","10","1224","Animal","kingfisher","Left",179.591230619523,438.23590039649
"10","10","10","1105","Animal","rooster","Left",44.320400570908,265.547304032065
"10","10","10","1156","Animal","rhinoceros02","Right",1416.01778633832,2319.0581838836
"10","10","10","988","Animal","peacock","Left",20.9027184642448,9.7960633413461
"10","10","10","1121","Animal","cedarwaxwing","Left",649.853851055496,954.700803714025
"10","10","10","1407","Animal","grizzly","Left",144.558747043558,1193.24138876179
"10","10","10","888","Animal","greywolf","Right",257.546336304922,580.465294470125
"10","10","10","805","Animal","bassethound","Left",29.0417311795079,27.942287891627
"10","10","10","855","Animal","swordfish","Right",360.587833358589,701.803551213247
"10","10","10","822","Animal","tortoise01","Left",1759.94008481609,2554.5630827632
"10","10","10","805","Animal","americangoldfinch","Left",14.9136811110894,455.329178268113
"10","10","10","1006","Animal","sandbarshark","Left",408.119736473161,727.885087073462
"10","10","10","756","Animal","bluejay","Right",1162.3865706802,1866.57113953295
"10","10","10","987","Animal","pig","Right",1779.2734255408,2630.93428323493
"10","10","10","921","Animal","greyhound","Right",44.751890032118,118.108311666939
"10","10","10","1088","Animal","giraffe","Left",810.230210116621,1443.37581910231
"10","10","10","971","Animal","macaque","Right",651.670046548789,1400.95610157985
"10","10","10","1004","Animal","pigeon","Right",1585.52881043788,2690.23825497698
"10","10","10","1171","Animal","mouse","Right",1561.51025046339,3061.54880404256
"10","10","10","1239","Animal","bull","Right",121.272390063606,187.093614378192
"10","10","10","1039","Animal","barnowl","Left",225.785617344362,318.039005007874
"10","10","10","788","Animal","jackrabbit","Right",1179.77843277977,1242.74408316121
"10","10","10","855","Animal","polarbear","Left",444.971809339182,407.003906510515
